date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,Tornado,MAGITUDE,Deaths,WINDSPEED
3/25/2010,17,11,0,7.6,3,67,2:27:00 PM,3:43:00 AM,6:52:00 AM,7:11:00 PM,13,13,14,13,38,83,93,21.7,1009,17,8,216,20,mississippi,NO,0,0,0
3/26/2010,15,7,0,10.3,3,75,3:38:00 PM,4:23:00 AM,6:51:00 AM,7:11:00 PM,6,9,10,9,24,40,79,0,1016,15,10,170,13,mississippi,NO,0,0,0
3/27/2010,20,5,0,11.6,4,82,4:49:00 PM,5:00:00 AM,6:49:00 AM,7:12:00 PM,8,11,12,11,33,12,78,0,1014,20,9,145,19,mississippi,NO,0,0,0
3/28/2010,14,10,0,7.6,3,89,5:59:00 PM,5:34:00 AM,6:48:00 AM,7:13:00 PM,10,11,12,11,34,80,83,3.1,1011,14,8,258,19,mississippi,NO,0,0,0
3/29/2010,17,7,0,11.6,3,96,7:08:00 PM,6:08:00 AM,6:47:00 AM,7:14:00 PM,6,10,11,10,27,24,75,0,1014,17,10,330,15,mississippi,NO,0,0,0
3/30/2010,21,4,0,11.6,4,100,8:18:00 PM,6:42:00 AM,6:45:00 AM,7:14:00 PM,6,11,12,11,13,5,70,0,1016,21,10,177,7,mississippi,NO,0,0,0
3/31/2010,24,7,0,11.6,5,100,9:27:00 PM,7:20:00 AM,6:44:00 AM,7:15:00 PM,9,15,16,15,21,1,70,0,1016,24,10,188,12,mississippi,NO,0,0,0
4/1/2010,26,10,0,11.6,5,77,10:33:00 PM,8:00:00 AM,6:43:00 AM,7:16:00 PM,12,17,18,17,23,1,73,0,1017,26,8,182,12,mississippi,NO,0,0,0
4/2/2010,25,11,0,11.6,5,70,11:37:00 PM,8:45:00 AM,6:41:00 AM,7:17:00 PM,11,17,18,17,28,6,68,0,1014,25,10,170,16,mississippi,NO,0,0,0
4/3/2010,25,15,0,10.3,4,62,No moonrise,9:35:00 AM,6:40:00 AM,7:17:00 PM,14,18,18,18,24,47,77,10.4,1015,25,9,182,11,mississippi,NO,0,0,0
4/4/2010,26,14,0,11.6,4,55,12:34:00 AM,10:28:00 AM,6:39:00 AM,7:18:00 PM,17,19,20,19,19,42,86,0,1019,26,7,174,10,mississippi,NO,0,0,0
4/5/2010,28,15,0,11.6,6,47,1:25:00 AM,11:25:00 AM,6:37:00 AM,7:19:00 PM,15,21,22,21,22,3,73,0,1019,28,8,187,12,mississippi,NO,0,0,0
4/6/2010,28,14,0,11.6,6,40,2:08:00 AM,12:22:00 PM,6:36:00 AM,7:20:00 PM,15,21,21,21,33,2,70,0,1015,28,10,185,18,mississippi,NO,0,0,0
4/7/2010,26,17,0,10.3,5,32,2:46:00 AM,1:19:00 PM,6:35:00 AM,7:20:00 PM,17,20,21,20,34,52,80,0,1011,26,7,184,19,mississippi,NO,0,0,0
4/8/2010,19,11,0,10.3,4,24,3:19:00 AM,2:15:00 PM,6:33:00 AM,7:21:00 PM,11,15,15,15,28,47,80,12.7,1011,19,8,295,15,mississippi,NO,0,0,0
4/9/2010,21,7,0,11.6,4,17,3:49:00 AM,3:11:00 PM,6:32:00 AM,7:22:00 PM,5,13,13,13,15,1,61,0,1020,21,10,283,8,mississippi,NO,0,0,0
4/10/2010,23,8,0,11.6,4,9,4:16:00 AM,4:06:00 PM,6:31:00 AM,7:23:00 PM,6,14,15,14,16,8,55,0,1024,23,10,124,8,mississippi,NO,0,0,0
4/11/2010,25,8,0,11.6,5,2,4:43:00 AM,5:01:00 PM,6:30:00 AM,7:23:00 PM,9,16,17,16,12,6,64,0,1024,25,10,132,6,mississippi,NO,0,0,0
4/12/2010,27,10,0,11.6,5,0,5:10:00 AM,5:57:00 PM,6:28:00 AM,7:24:00 PM,10,18,18,18,12,1,63,0,1023,27,10,121,6,mississippi,NO,0,0,0
4/13/2010,26,12,0,11.6,5,0,5:38:00 AM,6:55:00 PM,6:27:00 AM,7:25:00 PM,11,19,19,19,20,3,62,0,1024,26,10,140,11,mississippi,NO,0,0,0
4/14/2010,28,13,0,11.6,5,0,6:09:00 AM,7:56:00 PM,6:26:00 AM,7:26:00 PM,12,19,20,19,20,21,62,0,1026,28,10,138,11,mississippi,NO,0,0,0
4/15/2010,28,14,0,11.6,6,5,6:43:00 AM,8:58:00 PM,6:25:00 AM,7:26:00 PM,12,20,21,20,20,6,61,0,1026,28,10,159,11,mississippi,NO,0,0,0
4/16/2010,29,13,0,11.6,6,13,7:23:00 AM,10:01:00 PM,6:23:00 AM,7:27:00 PM,13,21,21,21,11,6,66,0,1021,29,10,253,6,mississippi,NO,0,0,0
4/17/2010,27,14,0,11.6,5,21,8:09:00 AM,11:03:00 PM,6:22:00 AM,7:28:00 PM,13,19,20,19,21,17,68,0,1016,27,10,199,11,mississippi,NO,0,0,0
4/18/2010,22,11,0,11.6,5,28,9:03:00 AM,No moonset,6:21:00 AM,7:29:00 PM,4,15,16,15,23,11,53,0,1017,22,10,32,13,mississippi,NO,0,0,0
4/19/2010,20,10,0,9.1,3,36,10:04:00 AM,12:01:00 AM,6:20:00 AM,7:29:00 PM,7,13,14,13,18,29,71,1.5,1017,20,10,154,9,mississippi,NO,0,0,0
4/20/2010,22,11,0,11.6,5,43,11:09:00 AM,12:53:00 AM,6:19:00 AM,7:30:00 PM,8,16,17,16,16,15,65,0,1014,22,10,270,9,mississippi,NO,0,0,0
4/21/2010,25,9,0,11.6,5,51,12:17:00 PM,1:40:00 AM,6:17:00 AM,7:31:00 PM,8,17,18,17,9,9,65,0,1012,25,10,164,4,mississippi,NO,0,0,0
4/22/2010,28,12,0,11.6,5,58,1:26:00 PM,2:21:00 AM,6:16:00 AM,7:32:00 PM,11,19,20,19,19,26,59,0,1011,28,10,181,10,mississippi,NO,0,0,0
4/23/2010,28,15,0,10.3,5,66,2:34:00 PM,2:58:00 AM,6:15:00 AM,7:32:00 PM,15,20,21,20,30,33,78,1.2,1010,28,9,168,16,mississippi,YES,1,0,50
4/24/2010,22,18,0,6.6,5,73,3:42:00 PM,3:32:00 AM,6:14:00 AM,7:33:00 PM,20,21,22,21,40,79,94,31.5,1004,22,7,175,20,mississippi,YES,1,0,50
4/25/2010,26,15,0,11.6,5,81,4:49:00 PM,4:05:00 AM,6:13:00 AM,7:34:00 PM,13,20,20,20,31,14,67,0,1002,26,10,246,18,mississippi,NO,0,0,0
4/26/2010,19,13,0,7.9,4,89,5:57:00 PM,4:38:00 AM,6:12:00 AM,7:35:00 PM,11,15,16,15,25,46,79,0.1,1005,19,10,295,13,mississippi,NO,0,0,0
4/27/2010,18,10,0,11.6,4,96,7:05:00 PM,5:14:00 AM,6:11:00 AM,7:35:00 PM,7,13,14,13,29,25,69,0,1010,18,9,303,16,mississippi,NO,0,0,0
4/28/2010,22,8,0,11.6,4,100,8:13:00 PM,5:52:00 AM,6:10:00 AM,7:36:00 PM,7,14,15,14,10,3,65,0,1016,22,10,202,6,mississippi,NO,0,0,0
4/29/2010,27,11,0,11.6,5,89,9:19:00 PM,6:35:00 AM,6:09:00 AM,7:37:00 PM,11,18,19,18,30,3,62,0,1013,27,10,161,17,mississippi,NO,0,0,0
4/30/2010,28,15,0,10.4,5,81,10:19:00 PM,7:23:00 AM,6:08:00 AM,7:38:00 PM,17,22,23,22,35,34,73,2.5,1009,28,10,160,20,mississippi,NO,0,0,0
5/1/2010,28,22,0,6.7,5,78,11:14:00 PM,8:16:00 AM,6:07:00 AM,7:38:00 PM,22,26,26,24,40,91,91,5.4,1007,28,8,165,20,mississippi,YES,1,0,300
5/2/2010,23,22,0,6.7,5,71,No moonrise,9:13:00 AM,6:06:00 AM,7:39:00 PM,22,25,25,23,43,97,97,49,1007,23,5,187,19,mississippi,YES,1,0,30
5/3/2010,29,17,0,11.6,6,64,12:01:00 AM,10:10:00 AM,6:05:00 AM,7:40:00 PM,17,23,23,23,10,9,72,3.7,1013,29,7,176,6,mississippi,NO,0,0,0
5/4/2010,31,14,0,11.6,6,57,12:42:00 AM,11:09:00 AM,6:04:00 AM,7:41:00 PM,14,23,23,22,11,1,60,0,1014,31,10,201,5,mississippi,NO,0,0,0
